"Country","FreedomintheWorld","IndexofEconomicFreedom","PressFreedomIndex","DemocracyIndex"
"Kazakhstan","not free","moderately free","difficult situation","authoritarian regime"
"Kenya","partly free","mostly unfree","problematic situation","hybrid regime"
"Kiribati","free","repressed",NA,NA
"Korea, North","not free","repressed","very serious situation","authoritarian regime"
"Korea, South","free","mostly free","satisfactory situation","flawed democracy"
"Kosovo","partly free","moderately free","problematic situation",NA
"Kuwait","partly free","moderately free","problematic situation","authoritarian regime"
"Kyrgyzstan","partly free","moderately free","problematic situation","hybrid regime"
"Laos","not free","mostly unfree","very serious situation","authoritarian regime"
"Latvia","free","mostly free","satisfactory situation","flawed democracy"
"Lebanon","partly free","mostly unfree","problematic situation","hybrid regime"
"Lesotho","partly free","mostly unfree","problematic situation","flawed democracy"
"Liberia","partly free","repressed","problematic situation","hybrid regime"
"Libya","not free",NA,"very serious situation","authoritarian regime"
"Liechtenstein","free",NA,"satisfactory situation",NA
"Lithuania","free","mostly free","satisfactory situation","flawed democracy"
"Luxembourg","free","mostly free","satisfactory situation","full democracy"
"Macau",NA,"mostly free",NA,NA
"Macedonia","partly free","mostly free","problematic situation","hybrid regime"
"Madagascar","partly free","mostly unfree","problematic situation","hybrid regime"
"Malawi","partly free","mostly unfree","problematic situation","hybrid regime"
"Malaysia","partly free","mostly free","difficult situation","flawed democracy"
"Maldives","partly free","mostly unfree","problematic situation",NA
"Mali","partly free","mostly unfree","difficult situation","hybrid regime"
"Malta","free","moderately free","problematic situation","full democracy"
"Marshall Islands","free",NA,NA,NA
"Mauritania","not free","mostly unfree","problematic situation","authoritarian regime"
"Mauritius","free","mostly free","problematic situation","full democracy"
"Mexico","partly free","moderately free","difficult situation","flawed democracy"
"Micronesia, Federated States of","free","mostly unfree",NA,NA
"Moldova","partly free","mostly unfree","problematic situation","hybrid regime"
"Monaco","free",NA,NA,NA
"Mongolia","free","mostly unfree","problematic situation","flawed democracy"
"Montenegro","partly free","moderately free","problematic situation","hybrid regime"
"Morocco","partly free","moderately free","difficult situation","hybrid regime"
"Mozambique","partly free","repressed","problematic situation","authoritarian regime"
"Nagorno-Karabakh","partly free",NA,NA,NA
"Namibia","free","mostly unfree","satisfactory situation","flawed democracy"
"Nauru","free",NA,NA,NA
"Nepal","partly free","mostly unfree","problematic situation","hybrid regime"
"Netherlands","free","mostly free","good situation","full democracy"
"New Zealand","free","free","good situation","full democracy"
"Nicaragua","not free","mostly unfree","difficult situation","authoritarian regime"
"Niger","partly free","mostly unfree","problematic situation","authoritarian regime"
"Nigeria","partly free","mostly unfree","difficult situation","hybrid regime"
"Northern Cyprus","free",NA,"problematic situation",NA
"Norway","free","mostly free","good situation","full democracy"
"Oman","not free","moderately free","difficult situation","authoritarian regime"
"Pakistan","partly free","mostly free","difficult situation","hybrid regime"
"Palau","free",NA,NA,NA
"Palestine","not free",NA,"difficult situation","hybrid regime"
"Panama","free","moderately free","problematic situation","flawed democracy"
"Papua New Guinea","partly free","mostly unfree","satisfactory situation","flawed democracy"
"Paraguay","partly free","moderately free","problematic situation","flawed democracy"
"Peru","free","moderately free","problematic situation","flawed democracy"
"Philippines","partly free","moderately free","difficult situation","flawed democracy"
"Poland","free","moderately free","problematic situation","flawed democracy"
"Portugal","free","moderately free","good situation","flawed democracy"
"Qatar","not free","mostly free","difficult situation","authoritarian regime"
"Romania","free","moderately free","problematic situation","flawed democracy"
"Russia","not free","mostly unfree","difficult situation","authoritarian regime"
"Rwanda","not free","mostly free","difficult situation","authoritarian regime"
"Saint Kitts and Nevis","free",NA,"problematic situation",NA
"Saint Lucia","free","moderately free","problematic situation",NA
"Saint Vincent and the Grenadines","free","moderately free","problematic situation",NA
"Samoa","free","moderately free","satisfactory situation",NA
"San Marino","free",NA,NA,NA
"São Tomé and Príncipe","free","mostly unfree",NA,NA
"Saudi Arabia","not free","moderately free","very serious situation","authoritarian regime"
"Senegal","free","mostly unfree","problematic situation","flawed democracy"
"Serbia","partly free","moderately free","problematic situation","flawed democracy"
"Seychelles","partly free","moderately free","problematic situation",NA
"Sierra Leone","partly free","repressed","problematic situation","hybrid regime"
"Singapore","partly free","free","difficult situation","flawed democracy"
"Slovakia","free","moderately free","satisfactory situation","flawed democracy"
"Slovenia","free","moderately free","satisfactory situation","flawed democracy"
"Solomon Islands","free","mostly unfree",NA,NA
"Somalia","not free",NA,"very serious situation",NA
"Somaliland","partly free",NA,NA,NA
"South Africa","free","mostly unfree","satisfactory situation","flawed democracy"
"South Sudan","not free",NA,"difficult situation",NA
"Spain","free","moderately free","satisfactory situation","full democracy"
"Sri Lanka","partly free","mostly unfree","difficult situation","flawed democracy"
"Sudan","not free","repressed","very serious situation","authoritarian regime"
"Suriname","free","repressed","satisfactory situation","flawed democracy"
"Sweden","free","mostly free","good situation","full democracy"
"Switzerland","free","free","good situation","full democracy"
"Syria","not free",NA,"very serious situation","authoritarian regime"
"Taiwan","free","mostly free","satisfactory situation","flawed democracy"
"Tajikistan","not free","mostly unfree","difficult situation","authoritarian regime"
"Tanzania","partly free","moderately free","difficult situation","hybrid regime"
"Thailand","not free","moderately free","difficult situation","hybrid regime"
"Togo","partly free","mostly unfree","problematic situation","authoritarian regime"
"Tonga","free","mostly unfree","problematic situation",NA
"Transnistria","not free",NA,NA,NA
"Trinidad and Tobago","free","mostly unfree","satisfactory situation","flawed democracy"
"Tunisia","free","mostly unfree","problematic situation","flawed democracy"
"Turkey","not free","moderately free","difficult situation","hybrid regime"
"Turkmenistan","not free","repressed","very serious situation","authoritarian regime"
"Tuvalu","free",NA,NA,NA
"Uganda","not free","mostly unfree","difficult situation","hybrid regime"
"Ukraine","partly free","mostly unfree","problematic situation","hybrid regime"
"United Arab Emirates","not free","mostly free","difficult situation","authoritarian regime"
"United Kingdom","free","mostly free","satisfactory situation","full democracy"
"United States","free","mostly free","problematic situation","flawed democracy"
"Uruguay","free","moderately free","satisfactory situation","full democracy"
"Uzbekistan","not free","mostly unfree","difficult situation","authoritarian regime"
"Vanuatu","free","mostly unfree",NA,NA
"Venezuela","not free","repressed","difficult situation","authoritarian regime"
"Vietnam","not free","mostly unfree","very serious situation","authoritarian regime"
"West Bank","not free",NA,"difficult situation",NA
"Western Sahara","not free",NA,NA,NA
"Yemen","not free",NA,"very serious situation","authoritarian regime"
"Zambia","partly free","mostly unfree","difficult situation","hybrid regime"
"Zimbabwe","partly free","repressed","difficult situation","authoritarian regime"
